cell_name,full_trace,passive_parameter,RA,relative_relation,relative,shrinkage_resize,double_spine_area,from_picture,before_shrink,syn_num,PSD,distance,lambda,g_NMDA_spine,W_AMPA,W_NMDA,tau1_AMPA,tau2_AMPA,tau1_NMDA,tau2_NMDA,E_PAS,RM,CM,soma_Rin,Rneck,neck_base_Rin,neck_base_Rtrans,neck_base_V_high,spine_head_Rin,spine_head_Rtrans,spine_head_V_high,V_soma_NMDA,V_soma_AMPA,V_syn_NMDA,V_syn_AMPA,total_L,syn_distance_real
2017_05_08_A_5-4,True,RA=100,100.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.4639042535516423,0.02161276832511081,4.475141572787906,0.38424146139991394,0.16250252112564215,1.7698645241303887,14.225476509125745,89.99999999999774,-78.1671,6106.0,2.8670972616675545,56.212580993298594,103.16296087262182,301.5875725562323,51.47092147938505,27.715636396693334,409.0285606558157,51.55059542444502,41.950059392528225,0.04861139827697514,1.340917979539384,0.42059368161140753,-36.26970427188669,,
2017_05_08_A_5-4,True,RA=100,100.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.4084690565326911,0.0028807711587054597,0.9492724548337983,0.08150576453937569,0.16250252112564215,1.7698645241303887,14.225476509125745,89.99999999999774,-78.1671,6106.0,2.8670972616675545,56.212580993298594,137.18776717109935,291.61771141205935,50.80210791345779,9.847458460637895,433.659902328329,50.82120334721666,16.985213206000495,0.009922819684092588,0.4279193760858817,0.0927320331848307,-61.222651273731294,,
2017_05_08_A_5-4,True,RA=120,120.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.5161031672016728,0.09664281029346987,5.945182414078996,0.4920993892835389,0.10506394372087827,1.5704805975339,3.0000000000095066,89.99983795535499,-78.1671,5920.0,2.957178358064542,56.55890362072359,123.79555304714619,345.7339319357468,50.72386775795929,30.41765632022817,474.6778829312635,50.806354012790095,47.746723136952625,0.057887710289492134,1.2984519305372828,0.9787531562432719,-30.562385475536406,,
2017_05_08_A_5-4,True,RA=120,120.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.45443035317401587,0.0056306220470472715,1.2610992999561506,0.10438471893893252,0.10506394372087827,1.5704805975339,3.0000000000095066,89.99983795535499,-78.1671,5920.0,2.957178358064542,56.55890362072359,164.62532060531925,334.46210513747866,49.95155897835374,11.81103170957634,504.9084344597739,49.970719187785356,21.787145536201884,0.011054191101820265,0.4497608065401266,0.14092387759650649,-56.413850921268875,,
2017_05_08_A_5-4,True,RA=150,150.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.5895526019850922,0.03849400659056547,7.990621125162162,0.4127664268644615,0.10055618694721141,1.4675664771429833,13.580470261662365,90.0,-78.1671,5671.0,3.0870209627476792,57.03589412158709,154.74444130893275,409.3643888991844,49.60649016569694,33.2354383222089,571.2820310071256,49.72819186174309,54.982251178009605,0.050847737539342575,1.2748523796387445,0.6406318949969858,-23.211193396320013,,
2017_05_08_A_5-4,True,RA=150,150.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.519102796030811,0.0031061668681759535,1.6949802386707618,0.08755651478943124,0.10055618694721141,1.4675664771429833,13.580470261662365,90.0,-78.1671,5671.0,3.0870209627476792,57.03589412158709,205.78165075664904,395.9458743586694,48.621558905207095,14.632207269838517,609.1978471142628,48.65033541639909,29.358571313861304,0.010216072076104865,0.4915152413193056,0.1413354578388919,-48.81730238625074,,
2017_05_08_A_5-4,True,RA=200,200.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.7033843791635274,0.1211667925172874,13.61176430199855,0.4860048843096182,0.3207796922048164,1.0032610494755079,5.620203304096785,89.99999999999773,-78.1671,5312.0,3.2956505797707245,57.730668563242276,206.32592174524365,505.92416722864374,47.47726395690296,37.67475711781551,722.24665000364,47.61791788042104,66.39104192354122,0.056870646887745124,1.1941616151282375,1.34025886784368,-11.809794426147716,,
2017_05_08_A_5-4,True,RA=200,200.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.619332009864348,0.009821376124852933,2.8873439428481773,0.1030919451565857,0.3207796922048164,1.0032610494755079,5.620203304096785,89.99999999999773,-78.1671,5312.0,3.2956505797707245,57.730668563242276,274.3755343421987,490.53609553648147,46.247698057758825,20.837816224611444,774.9592987798509,46.27972263386236,45.80823412234208,0.010842217284775302,0.5632366742994606,0.21521473361086407,-32.390754986974294,,
2017_05_08_A_5-4,True,RA=300,300.0,1.0,True,"[1.0, 1.0]",False,False,after,0,0.066,77.29041898537959,0.9139919975016776,0.014978934252808102,13.612468832812676,0.0655809817539166,0.39990008260511195,1.8498645136191176,14.998178607115106,85.85325991704063,-78.1671,4719.0,3.709789336669228,58.93503533109987,309.4888826178655,662.5275828560527,42.61718177923785,39.19337543680715,982.1071192560237,42.630984101470645,69.63950888861622,0.0072195725207819805,1.1769130939943722,0.22505613406914904,-8.530303798264253,,
2017_05_08_A_5-4,True,RA=300,300.0,0.21212121212121213,True,"[1.0, 1.0]",False,False,after,1,0.014,79.88559203608607,0.8047726358180063,0.0013456253539036226,2.8874933887784464,0.013911117341739887,0.39990008260511195,1.8498645136191176,14.998178607115106,85.85325991704063,-78.1671,4719.0,3.709789336669228,58.93503533109987,411.5633015132981,650.4954117914336,41.2518173503123,23.643345736100947,1075.589748172998,41.24605347444852,52.667209912975565,0.00141422023659743,0.5970517430346405,0.04011483133854199,-25.50342484261594,,
