fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error
const_param,z_correct.swc,RA_best_fit,60,"[1.0, 1.0]",False,7079.0,71.0,2.19139022311164,0.10165385699309952
const_param,z_correct.swc,mean_best_10,60,"[1.0, 1.0]",False,7999.0,28.5,1.9394807792337816,0.0355986852621969
const_param,z_correct.swc,RA=120,20,"[1.1, 1.1]",False,8059.0,120.0,1.9249102108707408,0.16145015541139998
const_param,z_correct.swc,RA=150,20,"[1.1, 1.1]",False,7470.0,150.0,2.076686932986252,0.2047038891323798
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.1]",False,9985.0,34.0,1.5536155622841563,0.03484662694319228
const_param,z_correct.swc,min_CM,20,"[1.1, 1.1]",False,10838.0,1.0,1.4313389360958941,0.08376988053499929
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.1]",False,8863.0,82.0,1.7502935111595734,0.10160625474477933
const_param,z_correct.swc,mean_best_10,20,"[1.1, 1.1]",False,9997.8,33.5,1.5517057291840086,0.03541060014855456
const_param,z_correct.swc,RA=120,20,"[1.0, 1.2]",False,8428.0,120.0,1.8406325806131112,0.11732339182638934
const_param,z_correct.swc,RA=150,20,"[1.0, 1.2]",False,7958.0,150.0,1.94934046109667,0.15292745883677752
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.2]",False,9753.0,43.0,1.5905722741112787,0.03480926688730163
const_param,z_correct.swc,min_CM,20,"[1.0, 1.2]",False,10561.0,1.0,1.468880919364388,0.0841913874441818
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.2]",False,8639.0,107.0,1.7956767437674848,0.10112688961708476
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.2]",False,9744.0,43.5,1.5920886700689179,0.03517732851165217
const_param,z_correct.swc,RA=120,20,"[1.0, 1.5]",False,10988.0,120.0,1.4117993619773663,0.06239153011558007
const_param,z_correct.swc,RA=150,20,"[1.0, 1.5]",False,10597.0,150.0,1.4638908549030198,0.08660943674182862
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.5]",False,11729.0,66.0,1.3226064787626652,0.034697576950331314
const_param,z_correct.swc,min_CM,20,"[1.0, 1.5]",False,12689.0,1.0,1.222543257105154,0.08499030116018555
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.5]",False,10368.0,168.0,1.4962240923425252,0.10087723001512953
const_param,z_correct.swc,mean_best_10,20,"[1.0, 1.5]",False,11693.9,68.5,1.326592397270797,0.03487490785940274
const_param,morphology.swc,RA=120,20,"[1.0, 1.0]",False,6591.0,120.0,2.3536415398888333,0.1797004350139166
const_param,morphology.swc,RA=150,20,"[1.0, 1.0]",False,6059.0,150.0,2.5602989584762006,0.22586027534117836
const_param,morphology.swc,RA_min_error,20,"[1.0, 1.0]",False,8467.0,29.0,1.8321544099925948,0.035131964326814036
const_param,morphology.swc,min_CM,20,"[1.0, 1.0]",False,9141.0,1.0,1.6970628366051088,0.08345526382851964
const_param,morphology.swc,RA_best_fit,20,"[1.0, 1.0]",False,7485.0,74.0,2.072525235725758,0.10093712401604925
const_param,morphology.swc,mean_best_10,20,"[1.0, 1.0]",False,8455.6,29.5,1.8347370822631721,0.03571225970504684
const_param,morphology.swc,RA=120,20,"[1.1, 1.1]",False,8059.0,120.0,1.9249102108707408,0.1614507365742555
const_param,morphology.swc,RA=150,20,"[1.1, 1.1]",False,7470.0,150.0,2.076686932986252,0.2047046513307869
const_param,morphology.swc,RA_min_error,20,"[1.1, 1.1]",False,9985.0,34.0,1.5536155622841563,0.03484642104711828
const_param,morphology.swc,min_CM,20,"[1.1, 1.1]",False,10838.0,1.0,1.4313389360958941,0.08376952172412538
const_param,morphology.swc,RA_best_fit,20,"[1.1, 1.1]",False,8863.0,82.0,1.7502935111595734,0.10160655871116563
const_param,morphology.swc,mean_best_10,20,"[1.1, 1.1]",False,10022.7,32.5,1.5478505317876992,0.03544286903139711
const_param,morphology.swc,RA=120,20,"[1.0, 1.2]",False,8428.0,120.0,1.8406325806131112,0.1173237803485438
const_param,morphology.swc,RA=150,20,"[1.0, 1.2]",False,7958.0,150.0,1.94934046109667,0.15292801098191644
const_param,morphology.swc,RA_min_error,20,"[1.0, 1.2]",False,9753.0,43.0,1.5905722741112787,0.03480905700701762
const_param,morphology.swc,min_CM,20,"[1.0, 1.2]",False,10561.0,1.0,1.468880919364388,0.08419103387736096
const_param,morphology.swc,RA_best_fit,20,"[1.0, 1.2]",False,8639.0,107.0,1.7956767437674848,0.10112719906015971
const_param,morphology.swc,mean_best_10,20,"[1.0, 1.2]",False,9744.0,43.5,1.5920886700689179,0.03517712397380114
